ID,出生到配種成功,配種到成功,配種到分娩,分娩到斷乳,胎次,母耳號,父耳號,品種,出生日期
1|66|61|993|4,,,,,0.0,,,D,2014-10-13
2|66|61|1000|6,272.0,0.0,,,1.0,,,YL,2016-03-01
2|66|61|1002|0,1883.0,0.0,121.0,23.0,12.0,,,YL,2010-10-11
1|66|61|1035|3,,,,,0.0,,,D,2013-04-04
2|66|61|1035|6,251.0,0.0,,,1.0,,,YL,2016-02-11
2|66|61|1039|6,287.0,0.0,,,1.0,,,YL,2016-02-11
2|66|61|1066|6,272.0,0.0,,,1.0,,,LY,2016-03-02
2|66|61|1067|3,1366.0,0.0,-28.0,23.0,8.0,,,LY,2013-01-19
2|66|61|1090|6,253.0,0.0,,,1.0,,,LY,2016-03-01
2|66|61|1102|0,2073.0,0.0,-32.0,25.0,12.0,,,LY,2010-09-23
2|66|61|1127|6,250.0,0.0,,,1.0,,,YL,2016-02-11
2|66|61|1128|6,316.0,41.0,,,1.0,,,LY,2016-03-02
2|66|61|1169|6,251.0,0.0,,,1.0,,,LY,2016-02-11
2|66|61|1180|6,282.0,22.0,,,1.0,,,LY,2016-03-02
2|66|61|1181|3,1409.0,0.0,-28.0,22.0,8.0,,,YL,2013-01-19
2|66|61|1215|6,251.0,0.0,,,1.0,,,YL,2016-02-11
2|66|61|1239|3,1067.0,24.0,122.0,-148.0,6.0,,,YL,2013-01-20
2|66|61|1243|6,252.0,0.0,,,1.0,,,LY,2016-03-02
2|66|61|1251|6,253.0,0.0,,,1.0,,,LY,2016-03-01
2|66|61|1273|6,257.0,0.0,,,1.0,,,LY,2016-02-11
2|66|61|1276|6,269.0,0.0,,,1.0,,,LY,2016-03-18
2|66|61|12811|6,253.0,0.0,,,1.0,,,LY,2016-03-01
2|66|61|1289|3,1071.0,0.0,119.0,26.0,6.0,,,LY,2013-02-03
2|66|61|1290|0,2011.0,0.0,121.0,23.0,12.0,,,LY,2010-09-25
2|66|61|1309|3,1136.0,0.0,119.0,38.0,7.0,,,YL,2013-02-03
2|66|61|1310|0,1979.0,0.0,119.0,22.0,12.0,,,LY,2010-09-25
2|66|61|1313|3,1437.0,0.0,-57.0,29.0,8.0,,,YL,2013-01-20
2|66|61|1316|1,1768.0,0.0,117.0,23.0,11.0,,,LY,2011-05-11
2|66|61|1320|3,1411.0,71.0,-101.0,26.0,8.0,,,LY,2013-02-09
2|66|61|1342|6,249.0,0.0,,,1.0,,,YL,2016-05-06
2|66|61|1369|6,263.0,0.0,,,1.0,,,LY,2016-04-11
2|66|61|1378|3,1334.0,0.0,-27.0,22.0,8.0,,,YL,2013-02-23
2|66|61|1394|6,266.0,0.0,,,1.0,,,LY,2016-03-02
2|66|61|1407|6,262.0,0.0,,,1.0,,,YL,2016-02-12
2|66|61|1414|3,1336.0,0.0,114.0,-145.0,8.0,,,LY,2013-02-09
2|66|61|1422|3,1316.0,0.0,118.0,-126.0,8.0,,,YL,2013-02-09
2|66|61|1423|6,250.0,0.0,,,1.0,,,LY,2016-03-02
2|66|61|1425|6,252.0,0.0,,,1.0,,,LY,2016-03-02
2|66|61|1433|6,254.0,0.0,,,1.0,,,LY,2016-02-12
2|66|61|1434|0,1896.0,0.0,119.0,21.0,12.0,,,LY,2010-09-27
2|66|61|1436|6,285.0,0.0,,,1.0,,,YL,2016-03-02
2|66|61|1444|6,284.0,24.0,,,1.0,,,LY,2016-02-12
2|66|61|1466|0,1939.0,0.0,118.0,30.0,12.0,,,LY,2010-09-27
2|66|61|1494|6,248.0,0.0,,,1.0,,,LY,2016-03-06
2|66|61|1498|6,,,,,0.0,,,LY,2016-03-06
2|66|61|1533|6,251.0,0.0,,,1.0,,,LY,2016-02-12
2|66|61|1538|6,,,,,0.0,,,LY,2016-03-18
2|66|61|1554|3,1319.0,0.0,117.0,-122.0,8.0,,,LY,2013-02-09
2|66|61|1567|6,295.0,0.0,,,1.0,,,LY,2016-02-12
2|66|61|1569|3,1328.0,0.0,114.0,-130.0,8.0,,,YL,2013-01-19
2|66|61|1582|3,1447.0,0.0,-29.0,23.0,9.0,,,YL,2013-02-09
2|66|61|1597|6,249.0,0.0,,,1.0,,,LY,2016-04-13
2|66|61|1602|3,1322.0,0.0,116.0,-121.0,8.0,,,LY,2013-02-09
2|66|61|1604|6,,,,,0.0,,,LY,2016-03-06
2|66|61|1605|6,267.0,0.0,,,1.0,,,LY,2016-03-06
2|66|61|1606|6,325.0,73.0,,,1.0,,,LY,2016-03-06
2|66|61|1615|6,248.0,0.0,,,1.0,,,LY,2016-03-06
2|66|61|16171|6,269.0,20.0,,,1.0,,,LY,2016-03-06
2|66|61|1620|6,248.0,0.0,,,1.0,,,YL,2016-03-06
2|66|61|1628|6,248.0,0.0,,,1.0,,,LY,2016-03-06
2|66|61|1631|3,1405.0,0.0,-28.0,23.0,8.0,,,LY,2013-01-20
2|66|61|1632|6,250.0,0.0,,,1.0,,,LY,2016-02-12
2|66|61|1641|3,1449.0,0.0,-30.0,25.0,9.0,,,YL,2013-01-20
2|66|61|1642|6,334.0,61.0,,,1.0,,,YL,2016-02-12
2|66|61|1645|6,255.0,0.0,,,1.0,,,LY,2016-03-18
2|66|61|1662|6,246.0,0.0,,,1.0,,,YL,2016-03-06
2|66|61|16751|6,318.0,57.0,,,1.0,,,YL,2016-03-18
2|66|61|1677|3,992.0,0.0,119.0,-124.0,6.0,,,LY,2013-01-20
2|66|61|1678|6,295.0,0.0,,,1.0,,,LY,2016-03-07
2|66|61|1694|6,,,,,0.0,,,LY,2016-03-07
2|66|61|1737|0,1945.0,0.0,120.0,22.0,12.0,,,LY,2010-09-27
2|66|61|1739|3,1151.0,0.0,118.0,36.0,7.0,,,LY,2013-02-05
2|66|61|1743|3,1464.0,0.0,-29.0,23.0,9.0,,,LY,2013-01-20
2|66|61|1746|3,1375.0,22.0,-112.0,36.0,8.0,,,LY,2013-02-05
2|66|61|1781|6,,,,,0.0,,,YL,2016-04-13
2|66|61|1790|3,1339.0,0.0,-28.0,25.0,8.0,,,LY,2013-05-01
2|66|61|1821|6,,,,,0.0,,,YL,2016-04-13
2|66|61|1826|3,1278.0,0.0,-30.0,26.0,8.0,,,LY,2013-03-08
2|66|61|1831|6,278.0,0.0,,,1.0,,,LY,2016-01-29
2|66|61|1841|6,252.0,0.0,,,1.0,,,LY,2016-04-13
2|66|61|1842|3,1176.0,0.0,-34.0,26.0,7.0,,,LY,2013-02-23
2|66|61|1846|3,1104.0,96.0,-129.0,27.0,6.0,,,LY,2013-02-23
2|66|61|1849|3,1464.0,0.0,-32.0,25.0,9.0,,,LY,2013-01-21
2|66|61|1856|6,249.0,0.0,,,1.0,,,LY,2016-03-09
2|66|61|1861|3,1364.0,0.0,-41.0,24.0,8.0,,,LY,2013-02-05
2|66|61|1877|6,,,,,0.0,,,YL,2016-04-13
2|66|61|1886|3,1300.0,0.0,114.0,-119.0,7.0,,,LY,2013-03-08
2|66|61|1893|3,1298.0,0.0,116.0,27.0,7.0,,,LY,2013-01-21
2|66|61|1894|6,244.0,0.0,,,1.0,,,LY,2016-03-09
2|66|61|1914|4,671.0,0.0,116.0,-129.0,3.0,,,LY,2014-11-14
2|66|61|1919|3,1147.0,0.0,119.0,18.0,6.0,,,LY,2013-02-06
2|66|61|1930|3,895.0,0.0,119.0,26.0,5.0,,,LY,2013-02-11
2|66|61|1975|3,1037.0,0.0,118.0,21.0,5.0,,,LY,2013-01-22
2|66|61|2001|6,277.0,26.0,,,1.0,,,LY,2016-04-13
2|66|61|2005|6,252.0,0.0,,,1.0,,,LY,2016-04-13
2|66|61|2017|3,1374.0,26.0,-114.0,38.0,8.0,,,LY,2013-02-06
2|66|61|2036|3,1338.0,0.0,-33.0,26.0,8.0,,,YL,2013-02-23
2|66|61|2049|6,268.0,0.0,,,1.0,,,YL,2016-04-13
2|66|61|2052|3,1420.0,0.0,-19.0,14.0,9.0,,,LY,2013-02-23
2|66|61|2078|3,1246.0,0.0,-46.0,24.0,7.0,,,LY,2013-02-23
2|66|61|2083|6,265.0,0.0,,,1.0,,,LY,2016-04-13
2|66|61|2102|6,270.0,0.0,,,1.0,,,LY,2016-03-19
2|66|61|2132|1,1660.0,0.0,121.0,25.0,10.0,,,LY,2011-09-27
2|66|61|2142|6,272.0,26.0,,,1.0,,,YL,2016-03-09
2|66|61|2143|6,254.0,0.0,,,1.0,,,LY,2016-04-13
2|66|61|2167|6,250.0,0.0,,,1.0,,,LY,2016-04-13
2|66|61|2177|6,,,,,0.0,,,LY,2016-04-14
2|66|61|2212|3,1321.0,0.0,-30.0,27.0,8.0,,,LY,2013-03-03
2|66|61|2224|1,1775.0,0.0,116.0,27.0,11.0,,,YLL,2011-09-27
2|66|61|2226|6,301.0,0.0,,,1.0,,,LY,2016-03-18
2|66|61|2233|6,253.0,0.0,,,1.0,,,LY,2016-03-19
2|66|61|2238|3,1436.0,0.0,-29.0,24.0,9.0,,,LY,2013-02-12
2|66|61|2243|3,1418.0,0.0,-32.0,26.0,9.0,,,LY,2013-02-12
2|66|61|2252|6,249.0,0.0,,,1.0,,,YL,2016-03-09
2|66|61|2255|6,260.0,0.0,,,1.0,,,YL,2016-04-14
2|66|61|2273|6,251.0,0.0,,,1.0,,,LY,2016-04-14
2|66|61|2283|6,,,,,0.0,,,LY,2016-03-19
2|66|61|2285|6,258.0,0.0,,,1.0,,,LY,2016-03-19
2|66|61|2294|6,257.0,0.0,,,1.0,,,YL,2016-03-09
2|66|61|2295|6,251.0,0.0,,,1.0,,,LY,2016-04-11
2|66|61|2307|6,253.0,0.0,,,1.0,,,LY,2016-03-19
2|66|61|2314|4,777.0,0.0,-36.0,18.0,4.0,,,LY,2014-11-27
2|66|61|2323|6,274.0,0.0,,,1.0,,,LY,2016-04-14
2|66|61|2329|6,253.0,0.0,,,1.0,,,YL,2016-04-15
2|66|61|2333|3,1395.0,28.0,-54.0,19.0,8.0,,,LY,2013-02-10
2|66|61|2343|6,264.0,0.0,,,1.0,,,LY,2016-04-14
2|66|61|2348|3,1237.0,0.0,118.0,-123.0,7.0,,,LY,2013-05-10
2|66|61|2351|6,287.0,35.0,,,1.0,,,LY,2016-03-19
2|66|61|2373|3,1384.0,0.0,-34.0,29.0,8.0,,,LY,2013-02-08
2|66|61|2379|6,269.0,21.0,,,1.0,,,LY,2016-04-14
2|66|61|2397|6,265.0,0.0,,,1.0,,,LY,2016-04-11
2|66|61|2424|3,1293.0,0.0,118.0,-124.0,8.0,,,LY,2013-03-11
2|66|61|2425|6,255.0,0.0,,,1.0,,,LY,2016-04-14
2|66|61|2437|6,254.0,0.0,,,1.0,,,LY,2016-03-20
2|66|61|2450|3,1140.0,0.0,117.0,13.0,7.0,,,LY,2013-03-11
2|66|61|2463|6,294.0,39.0,,,1.0,,,YL,2016-03-20
2|66|61|2474|6,253.0,0.0,,,1.0,,,LY,2016-03-20
2|66|61|2490|6,249.0,0.0,,,1.0,,,YL,2016-03-09
2|66|61|2528|3,1307.0,0.0,114.0,-120.0,8.0,,,LY,2013-03-11
2|66|61|2535|0,1895.0,0.0,118.0,22.0,12.0,,,YL,2010-12-19
2|66|61|2540|3,1307.0,0.0,-28.0,24.0,8.0,,,LY,2013-04-04
2|66|61|2557|6,251.0,0.0,,,1.0,,,LY,2016-03-20
2|66|61|2563|6,258.0,0.0,,,1.0,,,LY,2016-03-20
2|66|61|2573|6,258.0,0.0,,,1.0,,,YL,2016-03-20
2|66|61|2583|6,251.0,0.0,,,1.0,,,LY,2016-03-22
2|66|61|2593|3,1314.0,0.0,114.0,24.0,8.0,,,LY,2013-02-09
2|66|61|2599|6,276.0,23.0,,,1.0,,,LY,2016-04-14
2|66|61|2603|3,1447.0,0.0,-58.0,30.0,8.0,,,YL,2013-02-10
2|66|61|2610|0,2015.0,0.0,119.0,20.0,12.0,,,LY,2010-11-25
2|66|61|2617|6,256.0,0.0,,,1.0,,,LY,2016-03-22
1|66|61|2621|4,,,,,0.0,,,D,2014-12-08
2|66|61|2625|3,1437.0,0.0,-29.0,23.0,9.0,,,YL,2013-02-09
2|66|61|2628|6,251.0,0.0,,,1.0,,,LY,2016-03-20
2|66|61|2633|6,253.0,0.0,,,1.0,,,LY,2016-03-22
2|66|61|2642|0,1944.0,0.0,120.0,20.0,12.0,,,LY,2010-11-25
2|66|61|2663|6,274.0,0.0,,,1.0,,,LY,2016-03-22
2|66|61|2681|3,1169.0,0.0,-29.0,23.0,7.0,,,LY,2013-02-09
2|66|61|2710|6,,,,,0.0,,,LY,2016-03-09
2|66|61|2718|0,1896.0,0.0,118.0,21.0,12.0,,,LY,2010-12-21
2|66|61|2723|6,250.0,0.0,,,1.0,,,LY,2016-04-15
2|66|61|2728|6,,,,,0.0,,,LY,2016-03-09
2|66|61|2734|6,253.0,0.0,,,1.0,,,LY,2016-03-20
2|66|61|2758|6,244.0,0.0,,,1.0,,,LY,2016-03-09
1|66|61|2781|4,,,,,0.0,,,D,2014-12-14
2|66|61|2809|6,254.0,0.0,,,1.0,,,LY,2016-04-15
2|66|61|2812|0,1910.0,0.0,118.0,23.0,12.0,,,LY,2010-12-21
2|66|61|2823|6,249.0,0.0,,,1.0,,,LY,2016-04-15
2|66|61|2831|6,261.0,0.0,,,1.0,,,YL,2016-03-19
2|66|61|2855|4,813.0,0.0,-33.0,28.0,4.0,,,LY,2014-10-21
2|66|61|2857|6,288.0,0.0,,,1.0,,,LY,2016-03-22
2|66|61|2865|3,1143.0,0.0,-26.0,21.0,7.0,,,LY,2013-03-01
2|66|61|2923|6,,,,,0.0,,,LY,2016-03-22
2|66|61|2927|6,247.0,0.0,,,1.0,,,LY,2016-03-26
2|66|61|2929|6,260.0,0.0,,,1.0,,,LY,2016-04-13
2|66|61|2932|0,1906.0,0.0,117.0,21.0,12.0,,,LY,2010-12-21
2|66|61|2933|6,264.0,0.0,,,1.0,,,YL,2016-04-15
2|66|61|2935|6,247.0,0.0,,,1.0,,,LY,2016-04-14
1|66|61|2951|4,,,,,0.0,,,D,2014-12-17
2|66|61|2972|6,312.0,62.0,,,1.0,,,LY,2016-03-22
2|66|61|2976|4,752.0,0.0,-34.0,28.0,4.0,,,LY,2014-12-17
2|66|61|2991|6,253.0,0.0,,,1.0,,,LY,2016-04-15
2|66|61|2992|3,1220.0,58.0,115.0,-179.0,7.0,,,LY,2013-06-06
2|66|61|2994|4,683.0,77.0,-114.0,28.0,3.0,,,YL,2014-12-17
2|66|61|3039|6,249.0,0.0,,,1.0,,,LY,2016-04-15
1|66|61|3047|4,,,,,0.0,,,D,2014-12-17
2|66|61|3053|6,251.0,0.0,,,1.0,,,YL,2016-04-15
2|66|61|3057|6,264.0,0.0,,,1.0,,,LY,2016-04-15
2|66|61|3077|3,1167.0,0.0,117.0,26.0,7.0,,,LY,2013-02-23
2|66|61|3085|6,264.0,0.0,,,1.0,,,LY,2016-03-23
2|66|61|3091|6,251.0,0.0,,,1.0,,,YL,2016-03-23
2|66|61|3095|3,1303.0,0.0,116.0,-121.0,8.0,,,LY,2013-02-23
2|66|61|3110|1,1731.0,0.0,120.0,27.0,11.0,,,LY,2011-05-11
2|66|61|3137|6,260.0,0.0,,,1.0,,,YL,2016-04-15
2|66|61|3164|6,250.0,0.0,,,1.0,,,LY,2016-03-23
2|66|61|3171|6,259.0,0.0,,,1.0,,,LY,2016-04-15
2|66|61|3173|6,252.0,0.0,,,1.0,,,LY,2016-04-16
2|66|61|3180|6,276.0,0.0,,,1.0,,,LY,2016-03-23
2|66|61|3185|6,247.0,0.0,,,1.0,,,LY,2016-03-23
2|66|61|3190|3,1303.0,0.0,-36.0,30.0,8.0,,,LY,2013-05-12
2|66|61|3191|6,251.0,0.0,,,1.0,,,LY,2016-03-23
2|66|61|3200|6,,,,,0.0,,,LY,2016-03-23
2|66|61|3202|0,1756.0,0.0,118.0,5.0,11.0,,,LY,2010-12-23
2|66|61|3231|6,257.0,0.0,,,1.0,,,LY,2016-04-15
2|66|61|3235|6,255.0,0.0,,,1.0,,,LY,2016-03-19
2|66|61|3237|6,249.0,0.0,,,1.0,,,LY,2016-04-16
2|66|61|3241|6,248.0,0.0,,,1.0,,,LY,2016-03-23
2|66|61|3266|6,247.0,0.0,,,1.0,,,LY,2016-03-26
2|66|61|3293|3,1391.0,0.0,-35.0,30.0,8.0,,,LY,2013-03-03
2|66|61|3297|6,270.0,0.0,,,1.0,,,YL,2016-03-26
2|66|61|3302|6,248.0,0.0,,,1.0,,,LY,2016-03-26
2|66|61|3323|6,250.0,0.0,,,1.0,,,YL,2016-04-16
