場號,部門,客戶代碼,銷售別,銷售日期,實售總頭數,合計市場磅重,實售總金額,銷售廠號,異動日期,建檔者日期,豬類
66,60,4884,40,2016-05-17,50,5775.6,438485,15,2016-05-20,2016-05-20,44
66,60,4887,40,2016-05-17,50,5752,425033,15,2016-05-20,2016-05-20,44
66,60,7079,70,2016-05-17,100,9304.1,760603,08,2016-05-27,2016-05-23,44
66,60,4882,40,2016-05-21,50,5496,421626,25,2016-05-24,2016-05-24,44
66,60,4882,40,2016-05-23,50,5572,418320,25,2016-05-25,2016-05-25,44
66,60,4884,40,2016-05-24,50,5941.8,426060,15,2016-05-26,2016-05-26,44
66,60,4887,40,2016-05-24,50,6207.8,464038,15,2016-05-26,2016-05-26,44
66,60,4882,40,2016-05-26,50,5858.5,436411,25,2016-05-27,2016-05-27,44
66,60,4887,40,2016-06-02,50,5991.6,441853,15,2016-06-10,2016-06-10,44
66,60,4884,40,2016-06-02,50,5841.2,427750,15,2016-06-10,2016-06-10,44
66,60,4882,40,2016-06-04,50,5781,437086,25,2016-06-10,2016-06-10,44
66,60,4891,40,2016-06-03,50,6369,459390,25,2016-06-10,2016-06-10,44
66,60,7079,70,2016-06-07,99,9015,753155,08,2016-06-28,2016-06-14,44
66,60,4887,40,2016-06-15,50,5962.8,439627,15,2016-06-17,2016-06-17,44
66,60,4884,40,2016-06-15,50,5769.4,434354,15,2016-06-17,2016-06-17,44
66,60,0999,41,2016-06-16,12,480,27705,66,2016-06-17,2016-06-17,44
66,60,4891,40,2016-06-23,50,5928,441365,25,2016-06-25,2016-06-25,44
66,60,4882,40,2016-06-25,50,5746.5,430720,25,2016-06-28,2016-06-28,44
66,60,4882,40,2016-07-01,50,5798,441093,25,2016-07-06,2016-07-06,44
66,60,4887,40,2016-07-05,50,6162.4,478602,15,2016-07-15,2016-07-15,44
66,60,4884,40,2016-07-05,50,5894.4,463638,15,2016-07-15,2016-07-15,44
66,60,4882,40,2016-07-06,50,5673,430956,25,2016-07-15,2016-07-15,44
66,60,4882,40,2016-07-13,50,5735.5,454234,25,2016-07-15,2016-07-15,44
66,60,4891,40,2016-07-11,50,5759,466604,25,2016-07-15,2016-07-15,44
66,60,7079,70,2016-07-12,99,8990.6,817878,08,2016-07-29,2016-07-15,44
66,60,4887,40,2016-07-15,50,5990,467426,15,2016-07-20,2016-07-20,44
66,60,4884,40,2016-07-15,45,5105,395050,15,2016-07-20,2016-07-20,44
66,60,0999,41,2016-07-20,13,455,26091,66,2016-07-21,2016-07-21,44
66,60,4887,40,2016-07-19,50,5678,418133,15,2016-07-25,2016-07-25,44
66,60,4884,40,2016-07-19,45,5175.2,387894,15,2016-07-25,2016-07-25,44
66,60,4882,40,2016-07-21,50,5389.5,404496,25,2016-07-25,2016-07-25,44
66,60,4882,40,2016-07-26,50,5639.5,416095,25,2016-07-28,2016-07-27,44
66,60,7079,70,2016-08-09,100,8852.7,764667,08,2016-08-29,2016-08-11,44
66,60,4884,40,2016-08-03,50,5593.4,414010,15,2016-08-15,2016-08-15,44
66,60,4887,40,2016-08-03,50,5777.6,424033,15,2016-08-15,2016-08-15,44
66,60,4884,40,2016-08-11,50,5566.8,401865,15,2016-08-16,2016-08-16,44
66,60,4891,40,2016-08-04,50,5842,434627,25,2016-08-16,2016-08-16,44
66,60,4891,40,2016-08-08,49,5746.5,412391,25,2016-08-16,2016-08-16,44
66,60,4891,40,2016-08-11,50,5782,401416,25,2016-08-16,2016-08-16,44
66,60,4882,40,2016-08-04,49,5573,407109,25,2016-08-16,2016-08-16,44
66,60,4884,40,2016-08-23,50,5610,413514,15,2016-08-25,2016-08-25,44
66,60,4882,40,2016-08-22,50,5471.5,403169,25,2016-08-25,2016-08-25,44
66,60,4891,40,2016-08-25,50,6047,448458,15,2016-08-27,2016-08-27,44
66,60,4884,40,2016-08-25,50,5710,415999,15,2016-08-27,2016-08-27,44
66,60,4887,40,2016-08-25,50,5788.4,409469,15,2016-08-27,2016-08-27,44
66,60,4887,40,2016-09-01,50,5636.4,405719,15,2016-09-09,2016-09-09,44
66,60,4884,40,2016-09-01,50,5797.2,427494,15,2016-09-09,2016-09-09,44
66,60,4887,40,2016-09-07,50,6049.2,434520,15,2016-09-12,2016-09-12,44
66,60,4884,40,2016-09-07,50,5777.4,432004,15,2016-09-12,2016-09-12,44
66,60,4882,40,2016-09-07,50,5542.5,392869,25,2016-09-12,2016-09-12,44
66,60,7079,70,2016-09-13,100,8987.8,742517,08,2016-09-21,2016-09-19,44
66,60,4885,40,2016-09-12,50,5640,410567,25,2016-09-25,2016-09-25,44
66,60,4884,40,2016-09-20,50,5879.4,427051,15,2016-09-28,2016-09-28,44
66,60,4884,40,2016-09-22,50,5667.2,420447,15,2016-09-28,2016-09-28,44
66,60,4887,40,2016-09-20,50,6015,449066,15,2016-09-28,2016-09-28,44
66,60,4887,40,2016-09-22,50,5834.2,426928,15,2016-09-28,2016-09-28,44
66,60,4882,40,2016-09-21,50,5543,395953,25,2016-09-29,2016-09-29,44
66,60,4891,40,2016-09-21,50,5902.5,428062,25,2016-09-29,2016-09-29,44
66,60,4891,40,2016-09-26,50,5836.5,425083,25,2016-09-30,2016-09-30,44
66,60,4887,40,2016-10-05,50,6120.8,441528,15,2016-10-08,2016-10-08,44
66,60,4884,40,2016-10-05,50,5799.4,417644,15,2016-10-08,2016-10-08,44
66,60,4885,40,2016-10-01,49,5633,393824,25,2016-10-11,2016-10-11,44
66,60,4885,40,2016-10-10,100,11589,834428,25,2016-10-20,2016-10-11,44
66,60,4884,40,2016-10-11,50,5884.8,396462,15,2016-10-14,2016-10-14,44
66,60,4887,40,2016-10-11,50,6116.2,424175,15,2016-10-14,2016-10-14,44
66,60,4887,40,2016-10-14,50,5811,422016,15,2016-10-18,2016-10-18,44
66,60,4884,40,2016-10-14,50,5819.4,415600,15,2016-10-18,2016-10-18,44
66,60,4882,40,2016-10-13,50,5707.5,402443,25,2016-10-18,2016-10-18,44
66,60,4887,40,2016-10-18,49,5728.2,386473,15,2016-10-21,2016-10-21,44
66,60,4884,40,2016-10-18,50,5759.4,415682,15,2016-10-21,2016-10-21,44
66,60,4882,40,2016-10-19,50,5607,376725,25,2016-10-21,2016-10-21,44
66,60,7079,70,2016-10-13,100,9380.4,778722,08,2016-10-27,2016-10-24,44
66,60,4907,40,2016-10-20,100,11270.5,852997,15,2016-10-26,2016-10-26,44
66,60,4885,40,2016-10-20,50,5670,405294,25,2016-10-27,2016-10-27,44
66,60,4885,40,2016-10-26,99,11207.5,803483,25,2016-10-28,2016-10-27,44
66,60,4887,40,2016-11-02,50,5890,420988,15,2016-11-08,2016-11-08,44
66,60,4884,40,2016-11-02,50,6114.8,431473,15,2016-11-08,2016-11-08,44
66,60,4882,40,2016-11-04,50,5794.5,421210,25,2016-11-08,2016-11-08,44
66,60,4884,40,2016-11-07,50,5699.2,418496,15,2016-11-09,2016-11-09,44
66,60,4884,40,2016-11-09,50,5792.2,432965,15,2016-11-11,2016-11-11,44
66,60,4887,40,2016-11-07,50,6178.2,454160,15,2016-11-11,2016-11-11,44
66,60,4887,40,2016-11-09,50,6056.4,440473,15,2016-11-11,2016-11-11,44
66,60,7079,70,2016-11-10,100,9108.2,775378,08,2016-11-15,2016-11-11,44
66,60,4885,40,2016-11-02,50,5671,409551,25,2016-11-16,2016-11-16,44
66,60,4882,40,2016-11-17,50,5735.5,413715,25,2016-11-19,2016-11-19,44
66,60,4884,40,2016-11-22,50,6022.6,423491,15,2016-11-25,2016-11-25,44
66,60,4887,40,2016-11-22,50,5974.6,432866,15,2016-11-25,2016-11-25,44
66,60,4882,40,2016-11-23,50,5697.5,394938,25,2016-11-25,2016-11-25,44
66,60,4885,40,2016-11-18,50,5638,410113,25,2016-11-26,2016-11-26,44
66,60,4884,40,2016-12-06,50,6304.8,473329,15,2016-12-09,2016-12-09,44
66,60,4887,40,2016-12-06,50,6505,481336,15,2016-12-09,2016-12-09,44
66,60,4882,40,2016-12-08,50,6012.5,455905,25,2016-12-13,2016-12-13,44
66,60,4891,40,2016-12-08,50,6366.5,472358,25,2016-12-13,2016-12-13,44
66,60,4885,40,2016-12-05,50,5629,422269,25,2016-12-14,2016-12-14,44
66,60,4891,40,2016-12-12,50,6160.5,452399,25,2016-12-14,2016-12-14,44
66,60,4885,40,2016-12-12,50,5957,468585,25,2016-12-14,2016-12-14,44
66,60,4887,40,2016-12-13,50,6486,478774,15,2016-12-20,2016-12-20,44
66,60,4887,40,2016-12-15,50,6351.8,493114,15,2016-12-20,2016-12-20,44
66,60,4884,40,2016-12-13,50,6193.6,466157,15,2016-12-20,2016-12-20,44
66,60,4884,40,2016-12-15,50,6171.6,472646,15,2016-12-20,2016-12-20,44
66,60,7079,70,2016-12-20,100,9541.5,852770,08,2016-12-28,2016-12-21,44
66,60,4887,40,2016-12-21,50,6085.2,471987,15,2016-12-25,2016-12-25,44
66,60,4884,40,2016-12-21,50,6055,480722,15,2016-12-25,2016-12-25,44
66,60,4882,40,2016-12-14,50,5947,455512,25,2016-12-25,2016-12-25,44
66,60,4882,40,2016-12-20,50,5825.5,454807,25,2016-12-25,2016-12-25,44
66,60,4891,40,2016-12-19,50,6079.5,468345,25,2016-12-25,2016-12-25,44
66,60,4882,40,2016-12-22,50,5841.5,450686,25,2016-12-26,2016-12-26,44
66,60,4891,40,2016-12-22,50,6328.5,488242,25,2016-12-26,2016-12-26,44
66,60,4891,40,2016-12-27,50,6012,460511,25,2016-12-28,2016-12-28,44
66,60,4891,40,2016-07-11,-50,-5759,-466604,25,2016-08-09,2016-08-09,44
66,60,4891,40,2016-07-11,50,5759,466604,25,2016-08-09,2016-08-09,44
66,61,0999,41,2016-01-05,29,1620,96544,66,2016-01-07,2016-01-07,44
66,61,0999,41,2016-01-05,22,4220,204339,66,2016-01-07,2016-01-07,46
66,61,4907,40,2016-01-05,99,11863.5,930951,15,2016-01-12,2016-01-12,44
66,61,4887,40,2016-01-01,50,6902.2,492765,15,2016-01-12,2016-01-12,44
66,61,4887,40,2016-01-06,50,6622.4,518332,15,2016-01-12,2016-01-12,44
66,61,4884,40,2016-01-01,50,6513.4,492056,15,2016-01-12,2016-01-12,44
66,61,4885,40,2016-01-07,49,6147,447749,25,2016-01-12,2016-01-12,44
66,61,4884,40,2016-01-06,50,6561.6,464254,15,2016-01-12,2016-01-12,44
66,61,4892,40,2016-01-05,50,6347.5,468622,25,2016-01-12,2016-01-12,44
66,61,4891,40,2016-01-01,50,6485.5,472871,25,2016-01-12,2016-01-12,44
66,61,4891,41,2016-01-04,6,827.5,55091,25,2016-01-12,2016-01-12,46
66,61,4891,40,2016-01-04,44,6058,449367,25,2016-01-12,2016-01-12,44
66,61,4882,40,2016-01-04,50,6183,446164,25,2016-01-12,2016-01-12,44
66,61,4891,40,2016-01-07,46,6151,438673,25,2016-01-13,2016-01-13,44
66,61,4891,41,2016-01-07,4,521.5,33328,25,2016-01-13,2016-01-13,46
66,61,4892,40,2016-01-07,50,6119.5,451233,25,2016-01-13,2016-01-13,44
66,61,4891,40,2016-01-11,50,6984,489583,25,2016-01-14,2016-01-14,44
66,61,4887,40,2016-01-13,50,6448,457932,15,2016-01-18,2016-01-18,44
66,61,4884,40,2016-01-13,50,6546.4,478262,15,2016-01-18,2016-01-18,44
66,61,4882,40,2016-01-14,50,5752.5,414026,25,2016-01-18,2016-01-18,44
66,61,7079,70,2016-01-12,99,9071.1,756873,08,2016-01-29,2016-01-18,44
66,61,4892,40,2016-01-14,50,6603,470040,25,2016-01-19,2016-01-19,44
66,61,4885,40,2016-01-16,50,5949.5,424034,25,2016-01-23,2016-01-23,44
66,61,7079,70,2016-01-19,100,9041.5,744171,08,2016-01-29,2016-01-25,44
66,61,4907,40,2016-01-16,100,12112.5,934322,15,2016-01-26,2016-01-26,44
66,61,4887,40,2016-01-20,50,6571.6,479593,15,2016-01-26,2016-01-26,44
66,61,4884,40,2016-01-20,50,6581.8,469939,15,2016-01-26,2016-01-26,44
66,61,4892,40,2016-01-19,50,6221,452372,25,2016-01-27,2016-01-27,44
66,61,4892,40,2016-01-21,50,6432.5,455454,25,2016-01-27,2016-01-27,44
66,61,4891,40,2016-01-21,50,6296.5,446392,25,2016-01-27,2016-01-27,44
66,61,4882,40,2016-01-19,50,5864.5,431495,25,2016-01-27,2016-01-27,44
66,61,0999,41,2016-01-26,26,4590,228023,66,2016-01-27,2016-01-27,46
66,61,4882,40,2016-01-26,50,6348,434719,25,2016-01-28,2016-01-28,44
66,61,4887,40,2016-01-25,50,5960.6,434665,15,2016-01-28,2016-01-28,44
66,61,4884,40,2016-01-25,50,6463.8,477035,15,2016-01-28,2016-01-28,44
66,61,4891,40,2016-01-27,44,5771.5,427329,25,2016-01-28,2016-01-28,44
66,61,4891,41,2016-01-27,6,821,52732,25,2016-01-28,2016-01-28,46
66,61,7079,70,2016-02-03,100,9043.3,740030,08,2016-02-25,2016-02-05,44
66,61,4885,40,2016-02-04,100,12052,914208,25,2016-02-09,2016-02-09,44
66,61,4887,40,2016-02-02,50,6345.4,444161,15,2016-02-13,2016-02-13,44
66,61,4884,40,2016-02-01,50,6558.2,477276,15,2016-02-13,2016-02-13,44
66,61,4884,40,2016-02-02,49,6088.4,420839,15,2016-02-13,2016-02-13,44
66,61,4892,40,2016-02-03,50,6097.5,460717,25,2016-02-15,2016-02-15,44
66,61,4891,40,2016-02-02,43,5499,415252,25,2016-02-15,2016-02-15,44
66,61,4891,41,2016-02-02,7,922.5,59591,25,2016-02-15,2016-02-15,46
66,61,4891,40,2016-02-03,50,6148.5,478693,25,2016-02-15,2016-02-15,44
66,61,4882,40,2016-02-04,50,6059.5,450684,25,2016-02-15,2016-02-15,44
66,61,4882,40,2016-02-06,50,5760,438482,25,2016-02-15,2016-02-15,44
66,61,4891,40,2016-02-04,50,5941,482449,25,2016-02-15,2016-02-15,44
66,61,4891,40,2016-02-05,50,6291.5,470344,25,2016-02-15,2016-02-15,44
66,61,4891,40,2016-02-13,50,6413.5,461148,25,2016-02-18,2016-02-18,44
66,61,4882,40,2016-02-13,50,5958,437852,25,2016-02-18,2016-02-18,44
66,61,4887,40,2016-02-17,45,5518.6,392590,15,2016-02-22,2016-02-22,44
66,61,4885,40,2016-02-19,50,5630.5,417207,25,2016-02-26,2016-02-22,44
66,61,4887,40,2016-02-18,45,5669.6,391660,15,2016-02-22,2016-02-22,44
66,61,4884,40,2016-02-18,50,6080,418693,15,2016-02-22,2016-02-22,44
66,61,4892,40,2016-02-18,50,6239.5,440889,25,2016-02-22,2016-02-22,44
66,61,4891,41,2016-02-17,9,1253,79044,25,2016-02-22,2016-02-22,46
66,61,4891,40,2016-02-17,41,5458.5,395378,25,2016-02-22,2016-02-22,44
66,61,4882,40,2016-02-20,49,5564,416761,25,2016-02-22,2016-02-22,44
66,61,4891,40,2016-02-20,50,6526.5,451686,25,2016-02-25,2016-02-22,44
66,61,7079,70,2016-02-16,100,9110.4,759180,08,2016-02-25,2016-02-23,44
66,61,4887,40,2016-02-24,50,6292,434394,15,2016-02-26,2016-02-26,44
66,61,4884,40,2016-02-24,45,5841.6,405286,15,2016-02-26,2016-02-26,44
66,61,4892,40,2016-02-24,50,6037.5,419342,25,2016-02-26,2016-02-26,44
66,61,4892,40,2016-02-25,50,6130.5,412655,25,2016-02-26,2016-02-26,44
66,61,4882,40,2016-02-25,49,5656,387883,25,2016-02-26,2016-02-26,44
66,61,4891,40,2016-02-25,50,6232,434117,25,2016-02-26,2016-02-26,44
66,61,4885,40,2016-02-25,50,6128,406065,25,2016-02-26,2016-02-26,44
66,61,0999,41,2016-03-03,41,7730,381795,66,2016-03-06,2016-03-06,46
66,61,0999,41,2016-03-03,26,1300,72367,66,2016-03-06,2016-03-06,44
66,61,4887,40,2016-03-02,50,6051,418420,15,2016-03-07,2016-03-07,44
66,61,4884,40,2016-03-02,50,5857,404508,15,2016-03-07,2016-03-07,44
66,61,4892,40,2016-03-03,50,6133,432018,25,2016-03-07,2016-03-07,44
66,61,4892,40,2016-03-04,50,6149.5,436580,25,2016-03-07,2016-03-07,44
66,61,4891,40,2016-03-01,50,6422,439616,25,2016-03-08,2016-03-08,44
66,61,4882,40,2016-03-05,50,5825,405010,25,2016-03-08,2016-03-08,44
66,61,4891,41,2016-03-08,6,826.5,47625,25,2016-03-11,2016-03-11,46
66,61,4891,40,2016-03-08,43,5548.5,368453,25,2016-03-11,2016-03-11,44
66,61,4885,40,2016-03-04,50,5729,395090,25,2016-03-13,2016-03-13,44
66,61,4885,40,2016-03-10,50,6108,404621,25,2016-03-13,2016-03-13,44
66,61,4892,40,2016-03-10,50,6411,433933,25,2016-03-15,2016-03-15,44
66,61,4907,40,2016-03-10,100,11418.5,835451,15,2016-03-16,2016-03-16,44
66,61,4882,40,2016-03-15,50,5916,393781,25,2016-03-17,2016-03-17,44
66,61,7079,70,2016-03-09,100,9445.2,749972,08,2016-03-21,2016-03-17,44
66,61,4892,40,2016-03-16,50,6310.5,449301,25,2016-03-18,2016-03-18,44
66,61,4891,41,2016-03-15,6,794.5,43349,25,2016-03-18,2016-03-18,46
66,61,4891,40,2016-03-15,44,5490,356120,25,2016-03-28,2016-03-18,44
66,61,4884,40,2016-03-17,50,6296,428221,15,2016-03-19,2016-03-19,44
66,61,4887,40,2016-03-17,50,6159.6,424251,15,2016-03-19,2016-03-19,44
66,61,4882,40,2016-03-19,50,5852.5,396046,25,2016-03-23,2016-03-23,44
66,61,7079,70,2016-03-22,99,9129.2,727128,08,2016-03-31,2016-03-23,44
66,61,4885,40,2016-03-18,50,5782.5,396597,25,2016-03-26,2016-03-26,44
66,61,4885,40,2016-03-23,49,6007.5,409549,25,2016-03-26,2016-03-26,44
66,61,4892,40,2016-03-22,50,6360.5,438579,25,2016-03-28,2016-03-28,44
66,61,4891,40,2016-03-23,50,6224,424757,25,2016-03-28,2016-03-28,44
66,61,4882,40,2016-03-24,50,5972,395110,25,2016-03-28,2016-03-28,44
66,61,4882,40,2016-03-26,50,5771,384956,25,2016-03-29,2016-03-29,44
66,61,0999,41,2016-04-07,47,8940,423473,66,2016-04-12,2016-04-12,46
66,61,4887,40,2016-04-01,50,6189.2,437141,15,2016-04-15,2016-04-15,44
66,61,4887,40,2016-04-08,50,6380.2,444927,15,2016-04-15,2016-04-15,44
66,61,4887,40,2016-04-13,50,6342.4,443090,15,2016-04-15,2016-04-15,44
66,61,4884,40,2016-04-01,50,6093.6,421952,15,2016-04-15,2016-04-15,44
66,61,4884,40,2016-04-08,50,6413.8,425489,15,2016-04-15,2016-04-15,44
66,61,4884,40,2016-04-13,50,6266.2,452642,15,2016-04-15,2016-04-15,44
66,61,4892,40,2016-04-07,50,6496.5,444534,25,2016-04-15,2016-04-15,44
66,61,4892,40,2016-04-12,50,6497,431756,25,2016-04-15,2016-04-15,44
66,61,4891,41,2016-04-12,8,1047,59415,25,2016-04-15,2016-04-15,46
66,61,4891,40,2016-04-12,42,5392.5,370935,25,2016-04-15,2016-04-15,44
66,61,4882,40,2016-04-02,50,6182,451460,25,2016-04-15,2016-04-15,44
66,61,4882,40,2016-04-07,50,5741,401721,25,2016-04-15,2016-04-15,44
66,61,4887,40,2016-04-15,50,6293.6,445182,15,2016-04-19,2016-04-19,44
66,61,4884,40,2016-04-15,46,5809.8,387504,15,2016-04-19,2016-04-19,44
66,61,4882,40,2016-04-16,50,5910,423194,25,2016-04-19,2016-04-19,44
66,61,4907,40,2016-04-14,100,12053.5,868822,15,2016-04-20,2016-04-20,44
66,61,4884,40,2016-04-18,50,6153,422436,15,2016-04-20,2016-04-20,44
66,61,4887,40,2016-04-18,50,6241.4,429305,15,2016-04-20,2016-04-20,44
